"Date","Tox","type"
"2010-9-01",0.15,"mc"
"2010-9-15",0.15,"mc"
"2010-10-01",0.15,"mc"
"2010-10-15",0.15,"mc"
"2010-11-01",0.15,"mc"
"2010-11-15",0.15,"mc"
"2010-12-01",0.15,"mc"
"2010-12-15",0.15,"mc"
"2011-1-01",0.15,"mc"
"2011-1-15",0.15,"mc"
"2011-2-01",0.15,"mc"
"2011-2-15",0.15,"mc"
"2011-3-01",0.15,"mc"
"2011-3-15",0.15,"mc"
"2011-4-01",0.15,"mc"
"2011-4-15",0.15,"mc"
"2011-5-01",0.15,"mc"
"2011-5-15",0.4,"mc"
"2011-6-01",0.15,"mc"
"2011-6-15",0.15,"mc"
"2011-7-01",NA,"mc"
"2011-7-15",0.15,"mc"
"2011-8-01",0.15,"mc"
"2011-8-15",0.15,"mc"
"2011-9-01",NA,"mc"
"2011-9-15",0.15,"mc"
"2011-10-01",0.15,"mc"
"2011-10-15",0.15,"mc"
"2011-11-01",0.4,"mc"
"2011-11-15",0.15,"mc"
"2011-12-01",0.15,"mc"
"2011-12-15",0.2,"mc"
"2012-1-01",0.4,"mc"
"2012-1-15",1,"mc"
"2012-2-01",1,"mc"
"2012-2-15",0.4,"mc"
"2012-3-01",0.4,"mc"
"2012-3-15",1,"mc"
"2012-4-01",0.4,"mc"
"2012-4-15",0.4,"mc"
"2012-5-01",0.4,"mc"
"2012-5-15",0.15,"mc"
"2012-6-01",0.15,"mc"
"2012-6-15",0.4,"mc"
"2012-7-01",0.39,"mc"
"2012-7-15",0.28,"mc"
"2012-8-01",0.21,"mc"
"2012-8-15",0.15,"mc"
"2012-9-01",0.17,"mc"
"2012-9-15",0.16,"mc"
"2012-10-01",0.15,"mc"
"2012-10-15",0.15,"mc"
"2012-11-01",0.17,"mc"
"2012-11-15",0.2,"mc"
"2012-12-01",0.19,"mc"
"2012-12-15",0.16,"mc"
"2013-1-01",0.22,"mc"
"2013-1-15",0.15,"mc"
"2013-2-01",0.2,"mc"
"2013-2-15",0.32,"mc"
"2013-3-01",0.15,"mc"
"2013-3-15",0.21,"mc"
"2013-4-01",0.16,"mc"
"2013-4-15",0.17,"mc"
"2013-5-01",0.29,"mc"
"2013-5-15",0.24,"mc"
"2013-6-01",0.15,"mc"
"2013-6-15",0.26,"mc"
"2013-7-01",0.25,"mc"
"2013-7-15",0.15,"mc"
"2013-8-01",0.17,"mc"
"2013-8-15",0.15,"mc"
"2013-9-01",0.15,"mc"
"2013-9-15",0.15,"mc"
"2013-10-01",0.15,"mc"
"2013-10-15",0.15,"mc"
"2013-11-01",0.15,"mc"
"2013-11-15",0.15,"mc"
"2013-12-01",0.15,"mc"
"2013-12-15",0.15,"mc"
"2014-1-01",0.15,"mc"
"2014-1-15",0.23,"mc"
"2014-2-01",0.15,"mc"
"2014-2-15",0.15,"mc"
"2014-3-01",0.17,"mc"
"2014-3-15",0.15,"mc"
"2014-4-01",0.2,"mc"
"2014-4-15",0.15,"mc"
"2014-5-01",0.15,"mc"
"2014-5-15",0.16,"mc"
"2014-6-01",0.15,"mc"
"2014-6-15",0.15,"mc"
"2014-7-01",0.15,"mc"
"2014-7-15",0.15,"mc"
"2014-8-01",0.99,"mc"
"2014-8-15",0.15,"mc"
"2014-9-01",0.15,"mc"
"2014-9-15",0.19,"mc"
"2014-10-01",0.15,"mc"
"2014-10-15",0.15,"mc"
"2014-11-01",0.15,"mc"
"2014-11-15",0.15,"mc"
"2014-12-01",0.15,"mc"
"2014-12-15",0.15,"mc"
"2015-1-01",0.15,"mc"
"2015-1-15",0.15,"mc"
"2015-2-01",0.15,"mc"
"2015-2-15",0.15,"mc"
"2015-3-01",0.31,"mc"
"2015-3-15",0.15,"mc"
"2015-4-01",0.15,"mc"
"2015-4-15",0.15,"mc"
"2015-5-01",0.15,"mc"
"2015-5-15",0.15,"mc"
"2015-6-01",0.15,"mc"
"2015-6-15",0.15,"mc"
"2015-7-01",0.15,"mc"
"2015-7-15",0.77,"mc"
"2015-8-01",0.15,"mc"
"2015-8-15",0.4,"mc"
"2015-9-01",0.4,"mc"
"2015-9-15",0.15,"mc"
"2015-10-01",0.15,"mc"
"2015-10-15",0.4,"mc"
"2015-11-01",0.15,"mc"
"2015-11-15",0.19,"mc"
"2015-12-01",0.4,"mc"
"2015-12-15",0.18,"mc"
"2016-1-01",0.4,"mc"
"2016-1-15",0.15,"mc"
"2016-2-01",0.18,"mc"
"2016-2-15",0.16,"mc"
"2016-3-01",0.4,"mc"
"2016-3-15",0.4,"mc"
"2016-4-01",0.4,"mc"
"2016-4-15",0.25,"mc"
"2016-5-01",0.4,"mc"
"2016-5-15",0.4,"mc"
"2016-6-01",0.4,"mc"
"2016-6-15",0.15,"mc"
"2016-7-01",0.4,"mc"
"2016-7-15",0.15,"mc"
"2016-8-01",0.15,"mc"
"2016-8-15",0.4,"mc"
"2016-9-01",0.4,"mc"
"2016-9-15",0.4,"mc"
"2016-10-01",0.15,"mc"
"2016-10-15",0.21,"mc"
"2016-11-01",0.87,"mc"
"2016-11-15",0.25,"mc"
"2016-12-01",0.25,"mc"
"2016-12-15",0.2,"mc"
"2017-1-01",0.21,"mc"
"2017-1-15",0.28,"mc"
"2017-2-01",0.42,"mc"
"2017-2-15",0.27,"mc"
"2017-3-01",0.98,"mc"
"2017-3-15",0.28,"mc"
"2017-4-01",0.4,"mc"
"2017-4-15",0.17,"mc"
"2017-5-01",0.45,"mc"
"2017-5-15",0.39,"mc"
"2017-6-01",0.25,"mc"
"2017-6-15",3.01,"mc"
"2017-7-01",0.69,"mc"
"2017-7-15",0.45,"mc"
"2017-8-01",0.46,"mc"
"2017-8-15",0.4,"mc"
"2017-9-01",0.97,"mc"
"2017-9-15",0.51,"mc"
"2017-10-01",0.77,"mc"
"2017-10-15",0.4,"mc"
"2017-11-01",0.15,"mc"
"2017-11-15",0.4,"mc"
"2017-12-01",0.4,"mc"
"2017-12-15",0.15,"mc"
"2018-1-01",0.33,"mc"
"2018-1-15",0.97,"mc"
"2018-2-01",0.44,"mc"
"2018-2-15",0.54,"mc"
"2018-3-01",0.44,"mc"
"2018-3-15",0.41,"mc"
"2018-4-01",0.4,"mc"
"2018-4-15",0.3,"mc"
"2018-5-01",0.41,"mc"
"2018-5-15",0.15,"mc"
"2018-6-01",0.46,"mc"
"2018-6-15",0.15,"mc"
"2018-7-01",0.65,"mc"
"2018-7-15",0.27,"mc"
"2018-8-01",0.48,"mc"
"2018-8-15",0.25,"mc"
"2018-9-01",0.18,"mc"
"2018-9-15",0.16,"mc"
"2018-10-01",0.15,"mc"
"2018-10-15",0.15,"mc"
"2018-11-01",0.15,"mc"
"2018-11-15",0.15,"mc"
"2018-12-01",0.15,"mc"
"2018-12-15",0.15,"mc"
"2019-1-01",0.1,"mc"
"2019-1-15",0.1,"mc"
"2019-2-01",0.12,"mc"
"2019-2-15",0.11,"mc"
"2019-3-01",0.15,"mc"
"2019-3-15",0.15,"mc"
"2019-4-01",0.15,"mc"
"2019-4-15",NA,"mc"
"2010-9-01",0.02,"stx"
"2010-9-15",0.02,"stx"
"2010-10-01",0.02,"stx"
"2010-10-15",0.02,"stx"
"2010-11-01",0.05,"stx"
"2010-11-15",0.02,"stx"
"2010-12-01",0.02,"stx"
"2010-12-15",NA,"stx"
"2011-1-01",NA,"stx"
"2011-1-15",0.02,"stx"
"2011-2-01",0.02,"stx"
"2011-2-15",0.02,"stx"
"2011-3-01",0.05,"stx"
"2011-3-15",0.02,"stx"
"2011-4-01",0.02,"stx"
"2011-4-15",0.1,"stx"
"2011-5-01",0.02,"stx"
"2011-5-15",0.02,"stx"
"2011-6-01",0.02,"stx"
"2011-6-15",0.02,"stx"
"2011-7-01",NA,"stx"
"2011-7-15",0.02,"stx"
"2011-8-01",0.02,"stx"
"2011-8-15",0.05,"stx"
"2011-9-01",NA,"stx"
"2011-9-15",0.02,"stx"
"2011-10-01",0.02,"stx"
"2011-10-15",0.02,"stx"
"2011-11-01",0.02,"stx"
"2011-11-15",0.05,"stx"
"2011-12-01",0.02,"stx"
"2011-12-15",0.02,"stx"
"2012-1-01",0.02,"stx"
"2012-1-15",0.1,"stx"
"2012-2-01",0.05,"stx"
"2012-2-15",0.05,"stx"
"2012-3-01",0.1,"stx"
"2012-3-15",0.1,"stx"
"2012-4-01",0.1,"stx"
"2012-4-15",0.1,"stx"
"2012-5-01",0.1,"stx"
"2012-5-15",0.1,"stx"
"2012-6-01",0.07,"stx"
"2012-6-15",0.07,"stx"
"2012-7-01",0.4,"stx"
"2012-7-15",0.13,"stx"
"2012-8-01",0.11,"stx"
"2012-8-15",0.14,"stx"
"2012-9-01",0.22,"stx"
"2012-9-15",0.23,"stx"
"2012-10-01",0.2,"stx"
"2012-10-15",0.14,"stx"
"2012-11-01",0.63,"stx"
"2012-11-15",0.75,"stx"
"2012-12-01",0.21,"stx"
"2012-12-15",0.25,"stx"
"2013-1-01",0.25,"stx"
"2013-1-15",0.22,"stx"
"2013-2-01",NA,"stx"
"2013-2-15",0.19,"stx"
"2013-3-01",0.27,"stx"
"2013-3-15",0.22,"stx"
"2013-4-01",0.2,"stx"
"2013-4-15",0.22,"stx"
"2013-5-01",0.26,"stx"
"2013-5-15",0.26,"stx"
"2013-6-01",0.21,"stx"
"2013-6-15",0.21,"stx"
"2013-7-01",0.16,"stx"
"2013-7-15",0.19,"stx"
"2013-8-01",0.2,"stx"
"2013-8-15",0.25,"stx"
"2013-9-01",0.19,"stx"
"2013-9-15",0.19,"stx"
"2013-10-01",0.13,"stx"
"2013-10-15",0.13,"stx"
"2013-11-01",0.15,"stx"
"2013-11-15",0.14,"stx"
"2013-12-01",0.42,"stx"
"2013-12-15",0.24,"stx"
"2014-1-01",0.22,"stx"
"2014-1-15",0.32,"stx"
"2014-2-01",0.21,"stx"
"2014-2-15",0.23,"stx"
"2014-3-01",0.19,"stx"
"2014-3-15",0.14,"stx"
"2014-4-01",0.12,"stx"
"2014-4-15",0.14,"stx"
"2014-5-01",0.08,"stx"
"2014-5-15",0.13,"stx"
"2014-6-01",0.12,"stx"
"2014-6-15",0.32,"stx"
"2014-7-01",0.17,"stx"
"2014-7-15",0.13,"stx"
"2014-8-01",0.2,"stx"
"2014-8-15",0.11,"stx"
"2014-9-01",0.13,"stx"
"2014-9-15",0.15,"stx"
"2014-10-01",0.23,"stx"
"2014-10-15",0.22,"stx"
"2014-11-01",0.27,"stx"
"2014-11-15",0.26,"stx"
"2014-12-01",0.15,"stx"
"2014-12-15",0.22,"stx"
"2015-1-01",0.18,"stx"
"2015-1-15",0.19,"stx"
"2015-2-01",0.2,"stx"
"2015-2-15",0.15,"stx"
"2015-3-01",0.09,"stx"
"2015-3-15",0.08,"stx"
"2015-4-01",0.05,"stx"
"2015-4-15",0.04,"stx"
"2015-5-01",0.04,"stx"
"2015-5-15",0.04,"stx"
"2015-6-01",0.28,"stx"
"2015-6-15",0.06,"stx"
"2015-7-01",0.04,"stx"
"2015-7-15",0.04,"stx"
"2015-8-01",0.04,"stx"
"2015-8-15",0.05,"stx"
"2015-9-01",0.05,"stx"
"2015-9-15",0.04,"stx"
"2015-10-01",0.03,"stx"
"2015-10-15",0.06,"stx"
"2015-11-01",0.07,"stx"
"2015-11-15",0.07,"stx"
"2015-12-01",0.07,"stx"
"2015-12-15",0.05,"stx"
"2016-1-01",0.04,"stx"
"2016-1-15",0.03,"stx"
"2016-2-01",0.04,"stx"
"2016-2-15",0.04,"stx"
"2016-3-01",0.05,"stx"
"2016-3-15",0.05,"stx"
"2016-4-01",0.05,"stx"
"2016-4-15",0.03,"stx"
"2016-5-01",0.03,"stx"
"2016-5-15",0.03,"stx"
"2016-6-01",0.04,"stx"
"2016-6-15",0.04,"stx"
"2016-7-01",0.05,"stx"
"2016-7-15",0.04,"stx"
"2016-8-01",0.04,"stx"
"2016-8-15",0.07,"stx"
"2016-9-01",0.04,"stx"
"2016-9-15",0.05,"stx"
"2016-10-01",0.13,"stx"
"2016-10-15",0.09,"stx"
"2016-11-01",0.18,"stx"
"2016-11-15",0.27,"stx"
"2016-12-01",0.31,"stx"
"2016-12-15",0.41,"stx"
"2017-1-01",0.32,"stx"
"2017-1-15",0.21,"stx"
"2017-2-01",0.23,"stx"
"2017-2-15",0.19,"stx"
"2017-3-01",0.15,"stx"
"2017-3-15",0.06,"stx"
"2017-4-01",0.04,"stx"
"2017-4-15",0.03,"stx"
"2017-5-01",0.02,"stx"
"2017-5-15",0.02,"stx"
"2017-6-01",0.02,"stx"
"2017-6-15",0.31,"stx"
"2017-7-01",0.11,"stx"
"2017-7-15",0.03,"stx"
"2017-8-01",0.03,"stx"
"2017-8-15",0.02,"stx"
"2017-9-01",0.04,"stx"
"2017-9-15",0.02,"stx"
"2017-10-01",0.04,"stx"
"2017-10-15",0.06,"stx"
"2017-11-01",0.04,"stx"
"2017-11-15",0.13,"stx"
"2017-12-01",0.3,"stx"
"2017-12-15",0.18,"stx"
"2018-1-01",0.15,"stx"
"2018-1-15",0.2,"stx"
"2018-2-01",0.22,"stx"
"2018-2-15",0.02,"stx"
"2018-3-01",0.25,"stx"
"2018-3-15",0.03,"stx"
"2018-4-01",0.07,"stx"
"2018-4-15",0.04,"stx"
"2018-5-01",0.07,"stx"
"2018-5-15",0.11,"stx"
"2018-6-01",0.02,"stx"
"2018-6-15",0.02,"stx"
"2018-7-01",0.02,"stx"
"2018-7-15",0.1,"stx"
"2018-8-01",0.06,"stx"
"2018-8-15",0.03,"stx"
"2018-9-01",0.02,"stx"
"2018-9-15",0.05,"stx"
"2018-10-01",0.04,"stx"
"2018-10-15",0.09,"stx"
"2018-11-01",0.06,"stx"
"2018-11-15",0.06,"stx"
"2018-12-01",0.13,"stx"
"2018-12-15",0.09,"stx"
"2019-1-01",0.11,"stx"
"2019-1-15",0.17,"stx"
"2019-2-01",0.12,"stx"
"2019-2-15",0.23,"stx"
"2019-3-01",0.05,"stx"
"2019-3-15",0.13,"stx"
"2019-4-01",0.02,"stx"
"2019-4-15",NA,"stx"
"2010-9-01",0.1,"cyn"
"2010-9-15",0.05,"cyn"
"2010-10-01",0.05,"cyn"
"2010-10-15",0.05,"cyn"
"2010-11-01",0.05,"cyn"
"2010-11-15",0.25,"cyn"
"2010-12-01",0.05,"cyn"
"2010-12-15",0.05,"cyn"
"2011-1-01",0.05,"cyn"
"2011-1-15",0.05,"cyn"
"2011-2-01",0.05,"cyn"
"2011-2-15",0.05,"cyn"
"2011-3-01",0.05,"cyn"
"2011-3-15",0.05,"cyn"
"2011-4-01",0.05,"cyn"
"2011-4-15",0.1,"cyn"
"2011-5-01",0.05,"cyn"
"2011-5-15",0.1,"cyn"
"2011-6-01",0.05,"cyn"
"2011-6-15",0.1,"cyn"
"2011-7-01",NA,"cyn"
"2011-7-15",0.05,"cyn"
"2011-8-01",0.05,"cyn"
"2011-8-15",0.1,"cyn"
"2011-9-01",NA,"cyn"
"2011-9-15",0.05,"cyn"
"2011-10-01",0.1,"cyn"
"2011-10-15",0.05,"cyn"
"2011-11-01",0.05,"cyn"
"2011-11-15",NA,"cyn"
"2012-2-01",NA,"cyn"
"2012-2-15",0.5,"cyn"
"2012-3-01",NA,"cyn"
"2012-3-15",0.3,"cyn"
"2012-4-01",0.5,"cyn"
"2012-4-15",0.25,"cyn"
"2012-5-01",0.5,"cyn"
"2012-5-15",0.25,"cyn"
"2012-6-01",0.19,"cyn"
"2012-6-15",0.5,"cyn"
"2012-7-01",0.26,"cyn"
"2012-7-15",0.24,"cyn"
"2012-8-01",0.34,"cyn"
"2012-8-15",0.32,"cyn"
"2012-9-01",0.29,"cyn"
"2012-9-15",0.18,"cyn"
"2012-10-01",0.16,"cyn"
"2012-10-15",0.22,"cyn"
"2012-11-01",0.17,"cyn"
"2012-11-15",0.17,"cyn"
"2012-12-01",0.12,"cyn"
"2012-12-15",0.15,"cyn"
"2013-1-01",0.18,"cyn"
"2013-1-15",0.39,"cyn"
"2013-2-01",0.34,"cyn"
"2013-2-15",0.32,"cyn"
"2013-3-01",0.56,"cyn"
"2013-3-15",0.56,"cyn"
"2013-4-01",0.58,"cyn"
"2013-4-15",0.42,"cyn"
"2013-5-01",0.65,"cyn"
"2013-5-15",1.02,"cyn"
"2013-6-01",1.31,"cyn"
"2013-6-15",1.15,"cyn"
"2013-7-01",0.66,"cyn"
"2013-7-15",0.41,"cyn"
"2013-8-01",0.47,"cyn"
"2013-8-15",0.35,"cyn"
"2013-9-01",0.37,"cyn"
"2013-9-15",0.5,"cyn"
"2013-10-01",0.78,"cyn"
"2013-10-15",0.57,"cyn"
"2013-11-01",0.71,"cyn"
"2013-11-15",1.88,"cyn"
"2013-12-01",1.05,"cyn"
"2013-12-15",1.43,"cyn"
"2014-1-01",0.94,"cyn"
"2014-1-15",0.76,"cyn"
"2014-2-01",0.86,"cyn"
"2014-2-15",0.61,"cyn"
"2014-3-01",0.8,"cyn"
"2014-3-15",0.87,"cyn"
"2014-4-01",1.57,"cyn"
"2014-4-15",0.91,"cyn"
"2014-5-01",0.83,"cyn"
"2014-5-15",0.9,"cyn"
"2014-6-01",1.32,"cyn"
"2014-6-15",0.92,"cyn"
"2014-7-01",0.71,"cyn"
"2014-7-15",0.62,"cyn"
"2014-8-01",0.55,"cyn"
"2014-8-15",0.47,"cyn"
"2014-9-01",0.42,"cyn"
"2014-9-15",0.4,"cyn"
"2014-10-01",0.67,"cyn"
"2014-10-15",0.59,"cyn"
"2015-1-01",NA,"cyn"
"2015-1-15",0.57,"cyn"
"2015-2-01",0.55,"cyn"
"2015-2-15",0.95,"cyn"
"2015-3-01",0.68,"cyn"
"2015-3-15",0.7,"cyn"
"2015-4-01",0.28,"cyn"
"2015-4-15",0.68,"cyn"
"2015-5-01",1.05,"cyn"
"2015-5-15",0.68,"cyn"
"2015-6-01",0.71,"cyn"
"2015-6-15",0.71,"cyn"
"2015-7-01",0.59,"cyn"
"2015-7-15",0.58,"cyn"
"2015-8-01",0.61,"cyn"
"2015-8-15",0.99,"cyn"
"2015-9-01",0.71,"cyn"
"2015-9-15",0.94,"cyn"
"2015-10-01",0.76,"cyn"
"2015-10-15",0.67,"cyn"
"2015-11-01",0.7,"cyn"
"2015-11-15",0.77,"cyn"
"2015-12-01",0.91,"cyn"
"2015-12-15",0.81,"cyn"
"2016-1-01",0.53,"cyn"
"2016-1-15",0.21,"cyn"
"2016-2-01",0.21,"cyn"
"2016-2-15",0.43,"cyn"
"2016-3-01",0.3,"cyn"
"2016-3-15",0.23,"cyn"
"2016-4-01",0.25,"cyn"
"2016-4-15",0.3,"cyn"
"2016-5-01",0.23,"cyn"
"2016-5-15",0.3,"cyn"
"2016-6-01",0.11,"cyn"
"2016-6-15",0.12,"cyn"
"2016-7-01",0.1,"cyn"
"2016-7-15",0.13,"cyn"
"2016-8-01",0.07,"cyn"
"2016-8-15",0.1,"cyn"
"2016-9-01",0.07,"cyn"
"2016-9-15",0.05,"cyn"
"2016-10-01",0.08,"cyn"
"2016-10-15",0.05,"cyn"
"2016-11-01",0.09,"cyn"
"2016-11-15",0.14,"cyn"
"2016-12-01",0.17,"cyn"
"2016-12-15",0.19,"cyn"
"2017-1-01",0.81,"cyn"
"2017-1-15",0.13,"cyn"
"2017-2-01",0.16,"cyn"
"2017-2-15",0.16,"cyn"
"2017-3-01",0.12,"cyn"
"2017-3-15",0.15,"cyn"
"2017-4-01",0.1,"cyn"
"2017-4-15",0.1,"cyn"
"2017-5-01",0.23,"cyn"
"2017-5-15",0.1,"cyn"
"2017-6-01",0.08,"cyn"
"2017-6-15",0.09,"cyn"
"2017-7-01",0.1,"cyn"
"2017-7-15",0.08,"cyn"
"2017-8-01",0.14,"cyn"
"2017-8-15",0.1,"cyn"
"2017-9-01",0.23,"cyn"
"2017-9-15",0.05,"cyn"
"2017-10-01",0.05,"cyn"
"2017-10-15",0.07,"cyn"
"2017-11-01",0.05,"cyn"
"2017-11-15",0.06,"cyn"
"2017-12-01",0.05,"cyn"
"2017-12-15",0.05,"cyn"
"2018-1-01",0.07,"cyn"
"2018-1-15",0.16,"cyn"
"2018-2-01",0.06,"cyn"
"2018-2-15",0.05,"cyn"
"2018-3-01",0.05,"cyn"
"2018-3-15",0.05,"cyn"
"2018-4-01",0.05,"cyn"
"2018-4-15",0.05,"cyn"
"2018-5-01",0.05,"cyn"
"2018-5-15",0.09,"cyn"
"2018-6-01",0.08,"cyn"
"2018-6-15",0.08,"cyn"
"2018-7-01",0.08,"cyn"
"2018-7-15",0.07,"cyn"
"2018-8-01",0.05,"cyn"
"2018-8-15",0.06,"cyn"
"2018-9-01",0.07,"cyn"
"2018-9-15",0.08,"cyn"
"2018-10-01",0.08,"cyn"
"2018-10-15",0.09,"cyn"
"2018-11-01",0.06,"cyn"
"2018-11-15",0.17,"cyn"
"2018-12-01",0.09,"cyn"
"2018-12-15",0.06,"cyn"
"2019-1-01",0.17,"cyn"
"2019-1-15",0.17,"cyn"
"2019-2-01",0.78,"cyn"
"2019-2-15",1,"cyn"
"2019-3-01",0.74,"cyn"
"2019-3-15",1.22,"cyn"
"2019-4-01",0.29,"cyn"
"2019-4-15",NA,"cyn"
